bioma,mes,total_mes
Amazônia,1,35105
Amazônia,2,17993
Amazônia,3,23688
Amazônia,4,14719
Amazônia,5,22160
Amazônia,6,62185
Amazônia,7,144139
Amazônia,8,603120
Amazônia,9,746346
Amazônia,10,368478
Amazônia,11,293536
Amazônia,12,148880
Caatinga,1,11538
Caatinga,2,3346
Caatinga,3,2903
Caatinga,4,1872
Caatinga,5,1928
Caatinga,6,2895
Caatinga,7,7262
Caatinga,8,22598
Caatinga,9,74672
Caatinga,10,110069
Caatinga,11,90249
Caatinga,12,59456
Cerrado,1,12561
Cerrado,2,10187
Cerrado,3,12568
Cerrado,4,17470
Cerrado,5,36699
Cerrado,6,86056
Cerrado,7,147755
Cerrado,8,321841
Cerrado,9,520015
Cerrado,10,274093
Cerrado,11,79470
Cerrado,12,31897
Mata Atlântica,1,10174
Mata Atlântica,2,9450
Mata Atlântica,3,10695
Mata Atlântica,4,10945
Mata Atlântica,5,13385
Mata Atlântica,6,18213
Mata Atlântica,7,36318
Mata Atlântica,8,92640
Mata Atlântica,9,97492
Mata Atlântica,10,67228
Mata Atlântica,11,27810
Mata Atlântica,12,15448
Pampa,1,975
Pampa,2,671
Pampa,3,1228
Pampa,4,1669
Pampa,5,1692
Pampa,6,1498
Pampa,7,2865
Pampa,8,5570
Pampa,9,2835
Pampa,10,1399
Pampa,11,835
Pampa,12,1904
Pantanal,1,2863
Pantanal,2,1412
Pantanal,3,1639
Pantanal,4,2171
Pantanal,5,2548
Pantanal,6,3719
Pantanal,7,10541
Pantanal,8,36716
Pantanal,9,48446
Pantanal,10,23036
Pantanal,11,9811
Pantanal,12,4500
